datetime,code,open,high,low,close,volume,position,price,tradetime,type
2020-01-02 09:01:00,RB2005,3584.0002441406,3593.0002441406,3584.0002441406,3586.0002441406,42106.0,1472644.0,0.0,2020-01-02 09:01,1min
2020-01-02 09:02:00,RB2005,3587.0002441406,3590.0002441406,3587.0002441406,3590.0002441406,955.0,1473143.0,0.0,2020-01-02 09:02,1min
2020-01-02 09:03:00,RB2005,3590.0002441406,3590.0002441406,3590.0002441406,3590.0002441406,0.0,1473143.0,0.0,2020-01-02 09:03,1min
2020-01-02 09:04:00,RB2005,3589.0002441406,3590.0002441406,3587.0002441406,3589.0002441406,39651.0,1472773.0,0.0,2020-01-02 09:04,1min
2020-01-02 09:05:00,RB2005,3588.0002441406,3589.0002441406,3586.0002441406,3587.0002441406,5538.0,1473048.0,0.0,2020-01-02 09:05,1min
2020-01-02 09:06:00,RB2005,3586.0002441406,3587.0002441406,3582.0002441406,3583.0002441406,10555.0,1473506.0,0.0,2020-01-02 09:06,1min
2020-01-02 09:07:00,RB2005,3582.0002441406,3583.0002441406,3578.0002441406,3578.0002441406,14713.0,1472785.0,0.0,2020-01-02 09:07,1min
2020-01-02 09:08:00,RB2005,3580.0002441406,3581.0002441406,3580.0002441406,3580.0002441406,8164.0,1472201.0,0.0,2020-01-02 09:08,1min
2020-01-02 09:09:00,RB2005,3580.0002441406,3580.0002441406,3580.0002441406,3580.0002441406,0.0,1472201.0,0.0,2020-01-02 09:09,1min
2020-01-02 09:10:00,RB2005,3580.0002441406,3580.0002441406,3580.0002441406,3580.0002441406,0.0,1472201.0,0.0,2020-01-02 09:10,1min
2020-01-02 09:11:00,RB2005,3580.0002441406,3580.0002441406,3580.0002441406,3580.0002441406,0.0,1472201.0,0.0,2020-01-02 09:11,1min
2020-01-02 09:12:00,RB2005,3579.0002441406,3582.0002441406,3579.0002441406,3582.0002441406,28833.0,1472670.0,0.0,2020-01-02 09:12,1min
2020-01-02 09:13:00,RB2005,3582.0002441406,3582.0002441406,3581.0002441406,3581.0002441406,880.0,1472762.0,0.0,2020-01-02 09:13,1min
2020-01-02 09:14:00,RB2005,3581.0002441406,3581.0002441406,3581.0002441406,3581.0002441406,0.0,1472762.0,0.0,2020-01-02 09:14,1min
2020-01-02 09:15:00,RB2005,3584.0002441406,3586.0002441406,3584.0002441406,3585.0002441406,14495.0,1474149.0,0.0,2020-01-02 09:15,1min
2020-01-02 09:16:00,RB2005,3584.0002441406,3587.0002441406,3584.0002441406,3587.0002441406,5988.0,1473855.0,0.0,2020-01-02 09:16,1min
2020-01-02 09:17:00,RB2005,3587.0002441406,3587.0002441406,3586.0002441406,3587.0002441406,2771.0,1474571.0,0.0,2020-01-02 09:17,1min
