,datetime,code,price,amount,cash,order_id,realorder_id,trade_id,account_cookie,commission,tax,message,frozen,direction,total_frozen
61,2019-07-31 09:30:00,RBL8,3926.0002441406,84,1360183.50154652,59bd400d-6805-4aab-9c03-b1621760dceb,59bd400d-6805-4aab-9c03-b1621760dceb,59bd400d-6805-4aab-9c03-b1621760dceb,T01b2T_RBL8_15min,329.7840205078104,0,,0.0,3,0.0
62,2019-08-01 13:45:00,RBL8,3859.0002441406,-85,1064641.9678490122,337700e5-6de7-4a74-833c-7110acf7e129,337700e5-6de7-4a74-833c-7110acf7e129,337700e5-6de7-4a74-833c-7110acf7e129,T01b2T_RBL8_15min,328.015020751951,0,,295213.5186767559,-2,295213.5186767559
63,2019-08-08 10:00:00,RBL8,3747.0002441406,85,1454736.9915050163,0a5e5310-58db-4d53-aaa8-d1d0dce7ad14,0a5e5310-58db-4d53-aaa8-d1d0dce7ad14,0a5e5310-58db-4d53-aaa8-d1d0dce7ad14,T01b2T_RBL8_15min,318.495020751951,0,,0.0,3,0.0
64,2019-08-09 09:45:00,RBL8,3636.0002441406,-90,1159893.7317076551,d9b049ad-f75c-4240-9b42-ba19969f8507,d9b049ad-f75c-4240-9b42-ba19969f8507,d9b049ad-f75c-4240-9b42-ba19969f8507,T01b2T_RBL8_15min,327.240021972654,0,,294516.0197753886,-2,294516.0197753886
65,2019-08-12 15:00:00,RBL8,3684.0,90,1410878.4112095835,93d761f8-c88b-4ad4-9d1b-5ccafcfab4ff,93d761f8-c88b-4ad4-9d1b-5ccafcfab4ff,93d761f8-c88b-4ad4-9d1b-5ccafcfab4ff,T01b2T_RBL8_15min,331.56,0,,0.0,3,0.0
66,2019-08-13 09:15:00,RBL8,3686.0002441406,89,1115301.737632193,9a66f794-1b44-49a4-b822-f0c764b5050a,9a66f794-1b44-49a4-b822-f0c764b5050a,9a66f794-1b44-49a4-b822-f0c764b5050a,T01b2T_RBL8_15min,328.0540217285134,0,,295248.61955566204,2,295248.61955566204
67,2019-08-20 15:00:00,RBL8,3695.0002441406,-89,1418231.5021661269,18035bed-ee2e-4e21-8630-b8c25c3b43a2,18035bed-ee2e-4e21-8630-b8c25c3b43a2,18035bed-ee2e-4e21-8630-b8c25c3b43a2,T01b2T_RBL8_15min,328.8550217285134,0,,0.0,-3,0.0
68,2019-08-21 09:45:00,RBL8,3660.0002441406,-90,1121442.0823687657,ea06136c-960b-491d-8268-62621f66a180,ea06136c-960b-491d-8268-62621f66a180,ea06136c-960b-491d-8268-62621f66a180,T01b2T_RBL8_15min,329.400021972654,0,,296460.0197753886,-2,296460.0197753886
69,2019-08-23 14:00:00,RBL8,3457.0002441406,90,1600290.9721221817,b4a46822-6086-426f-ac95-f92828f35f08,b4a46822-6086-426f-ac95-f92828f35f08,b4a46822-6086-426f-ac95-f92828f35f08,T01b2T_RBL8_15min,311.130021972654,0,,0.0,3,0.0
70,2019-08-26 10:15:00,RBL8,3384.0002441406,-97,1304539.5027850259,d7efeb83-0242-443f-b4f4-ef92e59b604b,d7efeb83-0242-443f-b4f4-ef92e59b604b,d7efeb83-0242-443f-b4f4-ef92e59b604b,T01b2T_RBL8_15min,328.24802368163824,0,,295423.22131347435,-2,295423.22131347435
71,2019-08-29 09:15:00,RBL8,3338.0002441406,97,1644258.9380748183,bf70377b-a017-4103-8fe3-828fbdef71b2,bf70377b-a017-4103-8fe3-828fbdef71b2,bf70377b-a017-4103-8fe3-828fbdef71b2,T01b2T_RBL8_15min,323.7860236816382,0,,0.0,3,0.0
72,2019-08-30 15:00:00,RBL8,3343.0002441406,98,1349078.7025176915,6b765d93-38bf-4ae6-91fa-57e1ab4c2f4e,6b765d93-38bf-4ae6-91fa-57e1ab4c2f4e,6b765d93-38bf-4ae6-91fa-57e1ab4c2f4e,T01b2T_RBL8_15min,327.61402392577884,0,,294852.62153320096,2,294852.62153320096
73,2019-09-06 14:30:00,RBL8,3409.0002441406,-98,1708277.2420269663,9c2ae9b2-1dc7-40fb-b9b0-1bcf2fdd4207,9c2ae9b2-1dc7-40fb-b9b0-1bcf2fdd4207,9c2ae9b2-1dc7-40fb-b9b0-1bcf2fdd4207,T01b2T_RBL8_15min,334.08202392577886,0,,0.0,-3,0.0
74,2019-09-09 10:45:00,RBL8,3463.0002441406,95,1411861.7361297517,8336f5f1-6be5-4f6a-8341-d91910bdb33b,8336f5f1-6be5-4f6a-8341-d91910bdb33b,8336f5f1-6be5-4f6a-8341-d91910bdb33b,T01b2T_RBL8_15min,328.985023193357,0,,296086.5208740213,2,296086.5208740213
75,2019-09-17 21:15:00,RBL8,3510.0002441406,-95,1752264.8069805796,1f1fe6c4-caba-4391-9d31-3bc004593c5c,1f1fe6c4-caba-4391-9d31-3bc004593c5c,1f1fe6c4-caba-4391-9d31-3bc004593c5c,T01b2T_RBL8_15min,333.450023193357,0,,0.0,-3,0.0
76,2019-09-18 15:00:00,RBL8,3499.0002441406,-94,1455920.4803033357,bacfc214-29f8-4b3c-aadd-263cc3b5c9c6,bacfc214-29f8-4b3c-aadd-263cc3b5c9c6,bacfc214-29f8-4b3c-aadd-263cc3b5c9c6,T01b2T_RBL8_15min,328.90602294921644,0,,296015.4206542948,-2,296015.4206542948
77,2019-09-23 21:15:00,RBL8,3519.0002441406,94,1732805.1149346812,61e89d08-27c5-49d1-9c92-c03a49edee6d,61e89d08-27c5-49d1-9c92-c03a49edee6d,61e89d08-27c5-49d1-9c92-c03a49edee6d,T01b2T_RBL8_15min,330.78602294921643,0,,0.0,3,0.0
78,2019-09-26 13:45:00,RBL8,3455.0002441406,-95,1437074.3690374666,8fabce5d-4d7d-48cb-85f7-92a55f275e1d,8fabce5d-4d7d-48cb-85f7-92a55f275e1d,8fabce5d-4d7d-48cb-85f7-92a55f275e1d,T01b2T_RBL8_15min,328.225023193357,0,,295402.5208740213,-2,295402.5208740213
79,2019-09-27 23:00:00,RBL8,3481.0002441406,95,1707446.1948882947,4a663c30-533e-4134-9f97-758a54d0a9af,4a663c30-533e-4134-9f97-758a54d0a9af,4a663c30-533e-4134-9f97-758a54d0a9af,T01b2T_RBL8_15min,330.69502319335703,0,,0.0,3,0.0
80,2019-10-09 09:15:00,RBL8,3402.0002441406,-97,1410121.5795511387,492e6cff-c4c6-434e-9d80-af50db96b587,492e6cff-c4c6-434e-9d80-af50db96b587,492e6cff-c4c6-434e-9d80-af50db96b587,T01b2T_RBL8_15min,329.9940236816382,0,,296994.6213134744,-2,296994.6213134744
81,2019-10-14 09:15:00,RBL8,3433.0002441406,97,1676713.1998409317,7fac5404-ec17-45a4-9807-e8026467255c,7fac5404-ec17-45a4-9807-e8026467255c,7fac5404-ec17-45a4-9807-e8026467255c,T01b2T_RBL8_15min,333.00102368163823,0,,0.0,3,0.0
82,2019-10-15 13:45:00,RBL8,3325.0002441406,-99,1380126.5030638343,8f0c39b4-3873-4da9-beee-1cd576b6e791,8f0c39b4-3873-4da9-beee-1cd576b6e791,8f0c39b4-3873-4da9-beee-1cd576b6e791,T01b2T_RBL8_15min,329.17502416991937,0,,296257.5217529274,-2,296257.5217529274
83,2019-10-22 22:45:00,RBL8,3333.0002441406,99,1668134.0577925914,c8f6aaa1-5282-4e27-8126-f4dd58c2ea1d,c8f6aaa1-5282-4e27-8126-f4dd58c2ea1d,c8f6aaa1-5282-4e27-8126-f4dd58c2ea1d,T01b2T_RBL8_15min,329.9670241699194,0,,0.0,3,0.0
84,2019-10-25 14:15:00,RBL8,3330.0002441406,99,1371101.366015494,979971e2-4905-4122-9c4e-a3a9d7c71d77,979971e2-4905-4122-9c4e-a3a9d7c71d77,979971e2-4905-4122-9c4e-a3a9d7c71d77,T01b2T_RBL8_15min,329.6700241699194,0,,296703.0217529274,2,296703.0217529274
85,2019-11-07 22:15:00,RBL8,3408.0002441406,-99,1744686.995744252,692e6a99-b38b-4651-bbc3-01d8c1f6909d,692e6a99-b38b-4651-bbc3-01d8c1f6909d,692e6a99-b38b-4651-bbc3-01d8c1f6909d,T01b2T_RBL8_15min,337.39202416991935,0,,0.0,-3,0.0
